Name,Input,Output,Protein,RBS,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_K266001, , , , ,,,Not Released,BBa_S04215,It's complicated,Works,1 Uses,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,,pgroup=Inverter&show=1.csv
BBa_K266003, , , , ,,,Not Released,BBa_S04303,It's complicated,None,1 Uses,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,,pgroup=Inverter&show=1.csv
BBa_K266004, , , , ,,,Not Released,BBa_S04206,It's complicated,Works,1 Uses,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,,pgroup=Inverter&show=1.csv
BBa_K266008, , , , ,,,Not Released,BBa_S04208;BBa_K418002,It's complicated,None,1 Uses,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,,pgroup=Inverter&show=1.csv
BBa_K266009, , , , ,,,Not Released,BBa_S04209,It's complicated,None,Not Used,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,,pgroup=Inverter&show=1.csv
BBa_K266011, , , , ,,,Not Released,BBa_S04302,Not in stock,None,Not Used,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-14,,pgroup=Inverter&show=1.csv
BBa_K377704, , , , ,,,Not Released,BBa_K1019000;BBa_K1632010,It's complicated,None,Not Used,iGEM10_Michigan,Kevin Joseph,2010-10-14,,pgroup=Inverter&show=1.csv
BBa_K783067, , , , ,,,Not Released,,It's complicated,,Not Used,iGEM12_BostonU,Traci Haddock,2012-10-02,,pgroup=Inverter&show=1.csv
BBa_M1398, , , , ,,,Not Released,BBa_M11107;BBa_M11108;BBa_M1111;BBa_M1404;BBa_M1399;BBa_M1308;BBa_M1401;BBa_M1089;BBa_M1199;BBa_M1300;BBa_M1299;BBa_M1402;BBa_M1297;BBa_M1403;BBa_M1002;BBa_M1296;BBa_M1388;BBa_M1050;BBa_M1197;BBa_M1992;BBa_M1015;BBa_M1298;BBa_M1012;BBa_M1995;BBa_M1993;BBa_M1257;BBa_M1555;BBa_M1579;BBa_M1771;BBa_M1599;BBa_M1598;BBa_M1991;BBa_M1167;BBa_M1174;BBa_M1155;BBa_M1157;BBa_M1188;BBa_M45997;BBa_M45109;BBa_M45961;BBa_M45403;BBa_M45720;BBa_M45604;BBa_M45820;BBa_M45015;BBa_M45016;BBa_M45017,Not in stock,,Not Used,UtahState_BE5930_-_S11,Kristopher Loken,2011-03-28,,pgroup=Inverter&show=1.csv
BBa_Q00121, , , , ,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,mit,2004-07-20,,pgroup=Inverter&show=1.csv
BBa_Q00400, , , , ,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,mit,2004-07-20,,pgroup=Inverter&show=1.csv
BBa_Q01122,BBa_P0112,BBa_R0010,LacI,BBa_B0031,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q01500,BBa_P0150,BBa_R0050,CI (HK022),BBa_B0031,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q01510,BBa_P0151,BBa_R0051,CI (Lambda),BBa_B0031,,Antiquity:0,Not Released,BBa_J85124,It's complicated,None,4 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q01520,BBa_P0152,BBa_R0052,CI (434),BBa_B0031,,,Not Released,BBa_J85123,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q02121, , , , ,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,mit,2004-07-20,,pgroup=Inverter&show=1.csv
BBa_Q02400, , , , ,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,mit,2004-07-20,,pgroup=Inverter&show=1.csv
BBa_Q02740, ,BBa_R0074,PenI,BBa_B0032,,,Not Released,,Not in stock,,Not Used,Endy Lab,Kelly Chang,2006-01-17,,pgroup=Inverter&show=1.csv
BBa_Q03122,BBa_P0312,BBa_R0010,LacI,BBa_B0033,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q03500,BBa_P0350,BBa_R0050,CI (HK022),BBa_B0033,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q03510,BBa_P0351,BBa_R0051,CI (Lambda),BBa_B0033,,,Not Released,BBa_S03666,It's complicated,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q03511,BBa_P0351,BBa_R0065,CI (Lambda),BBa_B0033,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q03520,BBa_P0352,BBa_R0052,CI (434),BBa_B0033,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q03740, ,BBa_R0074,PenI,BBa_B0033,,,Not Released,,Not in stock,,Not Used,Endy Lab,Kelly Chang,2006-01-17,,pgroup=Inverter&show=1.csv
