Name,Safety
BBa_J64804,1
BBa_J64807,1
BBa_J64808,1
BBa_J64809,1
BBa_J64907,1
BBa_J64908,1
BBa_J64951,1
BBa_J64968,1
BBa_J64979,1
BBa_J64981,1
BBa_J64987,1
BBa_J64997,1
BBa_J72005,1
BBa_J97000,1
BBa_J97001,1
BBa_J97002,1
BBa_J97003,1
BBa_K082000,1
BBa_K082001,1
BBa_K086017,1
BBa_K086018,1
BBa_K086019,1
BBa_K086020,1
BBa_K086021,1
BBa_K086022,1
BBa_K086023,1
BBa_K086024,1
BBa_K086025,1
BBa_K086026,1
BBa_K086027,1
BBa_K086028,1
BBa_K086029,1
BBa_K086030,1
BBa_K086031,1
BBa_K086032,1
BBa_K086033,1
BBa_K088007,1
BBa_K091100,1
BBa_K091101,1
BBa_K091104,1
BBa_K091105,1
BBa_K091106,1
BBa_K091107,1
BBa_K091110,1
BBa_K091111,1
BBa_K091112,1
BBa_K091117,1
BBa_K091143,1
BBa_K091146,1
BBa_K091156,1
BBa_K091157,1
BBa_K093000,1
BBa_K093008,1
BBa_K094002,1
BBa_K094120,1
BBa_K094140,1
BBa_K100000,1
BBa_K100001,1
BBa_K100002,1
BBa_K101000,1
BBa_K101001,1
BBa_K101002,1
BBa_K101017,1
BBa_K1011000,1
BBa_K1022101,1
BBa_K103015,1
BBa_K1031013,1
BBa_K1031014,1
BBa_K1031015,1
BBa_K1031016,1
BBa_K1031113,1
BBa_K1031114,1
BBa_K1031221,1
BBa_K1031222,1
BBa_K1031223,1
BBa_K1031224,1
BBa_K1031301,1
BBa_K1031302,1
BBa_K1031311,1
BBa_K1031410,1
BBa_K1031420,1
BBa_K1031421,1
BBa_K1031422,1
BBa_K1031441,1
BBa_K1031442,1
BBa_K1031443,1
BBa_K1031444,1
BBa_K1031510,1
BBa_K1031520,1
BBa_K1031521,1
BBa_K1031610,1
BBa_K1031710,1
BBa_K1031742,1
BBa_K1031743,1
BBa_K1031744,1
BBa_K1031803,1
BBa_K1031804,1
BBa_K1031941,1
BBa_K1037000,1
BBa_K1037001,1
BBa_K1037002,1
BBa_K1037003,1
BBa_K1065203,1
BBa_K1065204,1
BBa_K1072000,1
BBa_K1072007,1
BBa_K109200,1
BBa_K112118,1
BBa_K112148,1
BBa_K1122667,1
BBa_K112318,1
BBa_K112320,1
